"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeID","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","nhrs","nleaves","novertime","consecutive_holidays"
"44",18,"No","Travel_Rarely","Sales",7,3,"Life Sciences",44,"Male",1,"Research Scientist","Single",38120,1,15,0,0,3,0,0,0,4,3,3,3,3,7.00887847222222,21,0,3
"45",28,"No","Travel_Rarely","Research & Development",9,3,"Medical",45,"Male",1,"Sales Representative","Single",46480,0,23,2,9,2,8,0,7,2,1,3,2,4,7.2015733151184,17,1,3
"46",31,"No","Travel_Rarely","Research & Development",8,1,"Technical Degree",46,"Male",1,"Manufacturing Director","Married",29360,4,12,1,10,2,8,7,7,2,4,2,3,3,7.172875,21,2,3
"47",39,"No","Travel_Rarely","Sales",5,4,"Marketing",47,"Female",2,"Human Resources","Divorced",21050,0,20,0,19,3,18,3,7,3,4,2,3,4,7.63680141843972,26,28,3
"48",36,"No","Non-Travel","Research & Development",5,4,"Life Sciences",48,"Male",1,"Sales Executive","Married",85780,7,21,0,11,4,9,0,8,2,2,3,3,4,7.83278129395218,24,62,3
"49",32,"No","Travel_Rarely","Sales",2,3,"Marketing",49,"Male",2,"Laboratory Technician","Married",27060,1,21,1,13,4,13,4,8,4,3,2,3,4,6.97476505139501,34,0,5
"50",38,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",50,"Female",3,"Research Scientist","Married",63840,3,19,2,19,4,10,0,1,1,2,3,2,3,6.9064242202729,33,0,3
"51",58,"No","Non-Travel","Research & Development",2,3,"Life Sciences",51,"Male",2,"Manufacturing Director","Divorced",39680,2,13,2,12,3,5,1,2,4,3,3,2,3,10.895463728191,19,242,3
"52",31,"No","Travel_Rarely","Research & Development",20,1,"Technical Degree",52,"Female",3,"Research Scientist","Married",99070,0,13,1,6,3,5,0,3,3,4,3,2,3,9.12566572902016,24,237,3
"53",31,"No","Travel_Rarely","Sales",7,4,"Marketing",53,"Male",2,"Sales Executive","Married",132250,3,21,1,9,2,2,1,0,1,1,3,3,4,6.83145978614598,22,0,3
"54",45,"No","Travel_Frequently","Research & Development",3,1,"Medical",54,"Female",1,"Sales Executive","Divorced",35400,1,13,0,24,6,24,9,11,1,1,3,3,3,7.31604990583804,25,5,3
"55",31,"No","Travel_Rarely","Sales",16,4,"Marketing",55,"Female",2,"Research Scientist","Divorced",28040,0,19,2,3,0,2,2,2,3,4,1,3,3,8.61079804189435,17,237,4
"56",33,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",56,"Male",4,"Research Director","Married",193920,6,12,1,12,3,10,8,8,4,2,3,3,3,6.7848452883263,24,0,3
"57",39,"No","Travel_Rarely","Sales",1,4,"Life Sciences",57,"Male",1,"Sales Executive","Married",196650,1,22,1,21,6,21,11,10,3,1,3,3,4,10.9860997732426,16,245,3
"58",43,"No","Travel_Frequently","Research & Development",7,4,"Medical",58,"Male",4,"Research Scientist","Single",24390,0,15,0,9,2,8,1,7,3,4,3,3,3,7.68658467939305,34,39,3
"59",49,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",59,"Male",3,"Manufacturing Director","Single",73140,7,22,0,25,2,7,0,7,3,3,3,3,4,9.94885688157293,18,243,3
"60",52,"Yes","Travel_Rarely","Research & Development",7,1,"Life Sciences",60,"Female",2,"Research Scientist","Married",47740,2,18,1,11,2,8,7,7,3,2,2,3,3,7.90552766155277,22,93,3
"61",27,"No","Travel_Rarely","Research & Development",15,4,"Medical",61,"Male",3,"Research Scientist","Single",39020,1,22,0,4,2,4,1,2,3,2,2,3,4,10.6724146174863,17,244,3
"62",32,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",62,"Male",3,"Research Scientist","Married",26620,1,11,1,13,6,13,11,9,3,2,3,4,3,10.4961715481172,22,239,3
"63",27,"No","Travel_Rarely","Research & Development",13,2,"Medical",63,"Female",4,"Research Director","Single",28560,1,12,2,5,5,5,0,4,4,3,3,4,3,10.0692616642617,30,231,3
"64",31,"No","Travel_Rarely","Sales",24,3,"Life Sciences",64,"Male",2,"Healthcare Representative","Divorced",10810,4,11,3,13,4,7,1,7,4,4,3,4,3,6.6070141746685,18,0,4
"65",32,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",65,"Male",2,"Healthcare Representative","Single",24720,7,13,0,10,2,7,0,7,1,4,2,3,3,7.49791490857947,24,12,3
"66",28,"Yes","Travel_Rarely","Research & Development",9,4,"Medical",66,"Male",1,"Sales Executive","Married",56730,5,14,1,5,4,3,2,2,1,4,2,2,3,10.7272357174989,14,247,3
"67",30,"No","Travel_Rarely","Research & Development",13,3,"Life Sciences",67,"Female",4,"Research Director","Married",41970,1,13,0,11,3,10,1,9,4,4,3,3,3,6.18481681034483,29,0,4
"68",31,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences",68,"Female",1,"Manager","Married",97130,1,17,0,10,5,10,8,9,3,3,3,2,3,6.60930004894763,34,0,3
"69",39,"No","Travel_Frequently","Research & Development",19,4,"Medical",69,"Female",1,"Research Scientist","Married",20620,1,13,0,21,4,21,13,3,3,4,3,3,3,6.07624634502924,33,0,3
"70",39,"Yes","Travel_Rarely","Research & Development",1,1,"Medical",70,"Female",1,"Laboratory Technician","Married",42840,4,17,1,12,0,1,0,0,4,3,2,3,3,9.97174570912376,15,246,3
"71",33,"No","Travel_Frequently","Sales",4,2,"Life Sciences",71,"Male",4,"Research Scientist","Single",47880,3,11,1,9,0,7,0,1,2,4,2,3,3,7.42145202020202,19,5,3
"72",47,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",72,"Female",2,"Healthcare Representative","Married",59060,4,23,0,21,4,3,1,1,4,3,3,4,4,6.49381001371742,18,0,3
"73",43,"No","Travel_Frequently","Research & Development",14,3,"Medical",73,"Female",5,"Research Director","Divorced",38860,1,17,2,9,2,9,0,0,3,3,4,3,3,6.29947044917258,26,0,3
"74",27,"No","Non-Travel","Research & Development",2,3,"Life Sciences",74,"Male",1,"Research Director","Married",168230,0,17,0,6,3,5,1,4,3,2,3,3,3,9.3169733044733,30,231,3
"75",54,"No","Travel_Frequently","Research & Development",1,4,"Life Sciences",75,"Male",2,"Research Scientist","Single",29330,3,12,2,20,2,4,0,3,4,3,2,3,3,6.09786278735632,29,0,3
"76",43,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences",76,"Female",2,"Manager","Married",65000,8,23,0,10,3,1,0,0,3,1,2,3,4,7.21732726423903,23,0,3
"77",45,"No","Travel_Rarely","Sales",3,1,"Marketing",77,"Female",1,"Sales Executive","Married",171740,9,14,1,12,6,10,9,8,4,4,3,3,3,7.10007001836547,19,0,3
"78",40,"No","Travel_Rarely","Research & Development",2,4,"Other",78,"Male",4,"Research Scientist","Married",50330,2,14,2,6,6,4,0,2,2,4,2,3,3,9.91410774410774,30,231,3
"79",29,"Yes","Travel_Rarely","Research & Development",29,3,"Medical",79,"Female",1,"Research Scientist","Married",23070,1,13,1,7,0,7,0,7,2,1,2,3,3,10.477788647343,31,230,3
"80",29,"No","Travel_Rarely","Human Resources",8,3,"Medical",80,"Male",3,"Sales Representative","Single",25870,0,22,2,4,3,3,2,2,2,4,3,3,4,6.90693863319386,22,0,3
"81",30,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences",81,"Male",2,"Research Scientist","Divorced",55070,1,12,2,10,2,10,1,2,4,3,3,2,3,7.58909243295019,29,20,3
"82",27,"No","Travel_Rarely","Research & Development",11,2,"Medical",82,"Male",1,"Manager","Married",43930,1,18,1,8,2,8,0,7,2,2,3,2,3,6.07972449908925,17,0,3
"83",37,"No","Travel_Rarely","Sales",1,4,"Life Sciences",83,"Male",2,"Healthcare Representative","Divorced",133480,7,14,0,8,4,6,0,4,4,4,2,3,3,6.00111228813559,25,0,3
"84",38,"No","Travel_Rarely","Research & Development",28,4,"Medical",84,"Male",1,"Laboratory Technician","Divorced",65830,0,12,0,12,1,11,2,9,3,4,3,3,3,8.98312327823692,19,242,3
"86",29,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",86,"Male",3,"Sales Executive","Divorced",39780,1,11,0,7,0,7,1,7,4,2,3,3,3,8.38752618397086,17,225,3
"87",35,"No","Travel_Rarely","Sales",16,2,"Technical Degree",87,"Male",3,"Manager","Single",25440,0,13,1,17,3,16,0,13,3,2,3,4,3,7.91203862660944,28,95,3
"88",23,"No","Travel_Rarely","Research & Development",20,4,"Life Sciences",88,"Male",1,"Manufacturing Director","Divorced",53990,1,23,0,4,2,4,0,2,3,4,2,2,4,7.10529184247539,24,1,3
"89",41,"No","Travel_Rarely","Research & Development",9,2,"Life Sciences",89,"Female",1,"Laboratory Technician","Single",54870,6,19,2,8,0,5,1,2,4,2,3,3,3,9.68863319386332,22,239,3
"90",47,"No","Travel_Frequently","Sales",1,3,"Medical",90,"Female",2,"Laboratory Technician","Single",68340,3,16,1,5,2,0,0,0,2,3,3,4,3,7.77034751278475,22,52,3
"91",42,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",91,"Male",1,"Manager","Single",10910,2,22,0,16,0,1,0,0,1,4,3,1,4,6.28428035630567,24,0,3
"92",29,"No","Non-Travel","Sales",22,4,"Marketing",92,"Male",2,"Human Resources","Married",57360,1,22,0,4,1,4,0,2,4,3,2,2,4,6.3061087267525,28,0,3
"93",42,"No","Travel_Rarely","Sales",7,4,"Medical",93,"Male",3,"Research Scientist","Divorced",22260,0,12,1,4,3,3,1,0,3,3,3,2,3,8.83158503898635,33,227,3
"94",32,"No","Travel_Rarely","Research & Development",2,3,"Medical",94,"Male",2,"Research Scientist","Married",57470,1,13,0,8,0,8,0,7,3,2,3,3,3,7.72237734487735,30,45,4
"95",48,"No","Travel_Rarely","Sales",13,4,"Medical",95,"Male",4,"Sales Executive","Married",98540,3,16,1,15,2,0,0,0,1,3,1,2,3,7.31747973295184,28,1,3
"96",37,"No","Travel_Rarely","Research & Development",8,5,"Technical Degree",96,"Male",2,"Manufacturing Director","Divorced",54670,4,12,0,13,2,7,6,7,3,1,3,3,3,10.7982624831309,14,247,3
"97",30,"No","Non-Travel","Sales",25,4,"Other",97,"Male",1,"Healthcare Representative","Married",53800,7,21,1,4,0,2,2,2,4,3,4,3,4,10.4013639455782,16,245,3
"98",26,"No","Travel_Rarely","Sales",28,3,"Medical",98,"Female",5,"Laboratory Technician","Married",51510,1,15,3,8,3,8,7,7,3,3,3,3,3,5.99432670324646,18,0,3
"99",42,"No","Travel_Rarely","Sales",2,2,"Medical",99,"Female",1,"Laboratory Technician","Single",21330,3,13,2,14,2,1,0,0,1,4,3,3,3,6.11311018131102,22,0,3
"100",21,"Yes","Travel_Frequently","Research & Development",9,3,"Medical",100,"Female",4,"Manufacturing Director","Single",178750,1,12,0,3,5,3,1,2,1,2,3,2,3,8.13357809653916,17,170,3
"101",36,"No","Non-Travel","Human Resources",28,3,"Human Resources",101,"Male",2,"Laboratory Technician","Single",24320,4,22,0,7,4,1,0,0,4,4,3,1,4,7.30616499042146,29,2,3
"102",36,"No","Travel_Frequently","Research & Development",6,3,"Life Sciences",102,"Female",2,"Research Scientist","Married",47710,4,13,1,16,2,13,1,12,1,4,3,3,3,7.10503034547152,23,0,3
"103",57,"No","Travel_Rarely","Research & Development",21,4,"Life Sciences",103,"Male",5,"Research Scientist","Married",191610,2,18,0,15,2,3,1,2,4,3,3,1,3,6.3277293144208,26,0,3
"104",40,"No","Travel_Rarely","Research & Development",8,3,"Other",104,"Male",2,"Sales Executive","Married",50870,3,14,1,10,3,7,1,7,4,3,3,3,3,8.1285121602289,28,155,3
"105",21,"No","Non-Travel","Research & Development",1,5,"Life Sciences",105,"Female",2,"Manager","Single",28630,1,14,0,3,2,3,2,2,1,4,2,1,3,7.98643255701116,32,107,3
"106",33,"Yes","Travel_Rarely","Human Resources",28,2,"Human Resources",106,"Female",5,"Manager","Single",55610,1,21,1,1,3,1,0,0,4,3,3,1,4,10.5090969215969,30,231,3
"107",37,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",107,"Male",4,"Research Scientist","Married",21440,6,19,0,17,3,5,0,3,3,1,3,4,3,7.99328403078403,30,108,3
"108",46,"No","Non-Travel","Sales",2,4,"Marketing",108,"Female",2,"Laboratory Technician","Married",30650,2,11,0,7,3,1,0,0,3,3,4,3,3,6.10365375243665,33,0,3
"109",41,"Yes","Travel_Frequently","Research & Development",16,1,"Medical",109,"Female",1,"Research Scientist","Single",28100,1,11,0,8,3,8,7,7,1,2,3,4,3,7.58790891750119,28,15,3
"110",50,"No","Travel_Rarely","Research & Development",9,3,"Medical",110,"Female",3,"Laboratory Technician","Single",98880,6,15,0,20,2,4,1,3,4,4,3,3,3,6.89032125603865,31,0,3
"111",40,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",111,"Female",1,"Healthcare Representative","Married",86280,2,20,0,8,2,6,1,0,3,3,3,2,4,9.29599952516619,27,234,3
"113",21,"Yes","Travel_Rarely","Human Resources",10,2,"Human Resources",113,"Male",1,"Laboratory Technician","Single",53730,1,12,1,1,2,1,0,0,3,2,3,3,3,5.99521980676329,31,0,3
"114",29,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",114,"Female",2,"Research Director","Single",66670,9,12,1,6,6,3,1,2,4,4,3,4,3,7.78860997732426,16,57,3
"115",35,"No","Travel_Rarely","Research & Development",29,3,"Life Sciences",115,"Female",3,"Sales Executive","Single",50030,9,15,0,10,2,1,0,0,3,2,3,3,3,7.71770715630885,25,37,3
"117",28,"No","Travel_Rarely","Research & Development",2,2,"Medical",117,"Male",3,"Manager","Single",28580,1,12,0,7,2,7,0,7,2,4,3,2,3,7.12061422413793,29,3,3
"118",49,"No","Travel_Rarely","Sales",2,3,"Technical Degree",118,"Male",2,"Manufacturing Director","Single",52040,8,14,1,26,3,5,0,0,2,3,3,3,3,7.82519328703704,21,71,3
"119",51,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences",119,"Male",1,"Sales Executive","Married",41050,4,22,1,18,2,7,0,7,3,4,2,3,4,7.61940180311891,33,27,4
"120",36,"No","Travel_Rarely","Sales",15,2,"Life Sciences",120,"Male",1,"Sales Executive","Married",96790,4,12,0,6,1,2,2,2,4,3,3,3,3,6.00246320037987,27,0,3
"121",34,"Yes","Non-Travel","Research & Development",7,3,"Life Sciences",121,"Male",1,"Sales Representative","Single",56170,8,25,1,9,3,5,0,4,1,4,2,3,4,9.11312647754137,26,235,3
"122",55,"No","Travel_Rarely","Sales",26,3,"Marketing",122,"Male",1,"Laboratory Technician","Single",104480,2,13,0,30,3,5,1,2,3,4,3,3,3,8.68413959510358,25,231,4
"123",24,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",123,"Female",5,"Manager","Divorced",28970,1,18,3,5,4,5,0,3,4,3,4,3,3,9.99313164251208,31,230,3
"124",30,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",124,"Female",2,"Manager","Married",59680,1,13,0,1,3,1,0,0,3,2,3,3,3,6.90053992303992,30,0,3
"126",22,"No","Travel_Rarely","Research & Development",16,5,"Other",126,"Male",1,"Research Scientist","Married",29910,1,19,2,2,3,2,1,2,1,2,3,2,3,6.28623015873016,30,0,3
"127",36,"No","Travel_Rarely","Research & Development",1,3,"Medical",127,"Female",5,"Healthcare Representative","Married",196360,1,12,1,10,3,10,9,0,2,3,3,3,3,6.3661511299435,25,0,3
"128",30,"Yes","Travel_Frequently","Sales",3,2,"Marketing",128,"Male",3,"Research Scientist","Single",11290,9,19,0,3,2,1,0,0,3,4,3,2,3,8.19166087962963,21,175,3
"129",37,"No","Travel_Rarely","Research & Development",10,1,"Technical Degree",129,"Male",1,"Sales Executive","Divorced",133410,1,14,1,18,3,18,12,17,4,1,2,3,3,6.45208912037037,21,0,3
"130",40,"No","Travel_Rarely","Research & Development",6,2,"Medical",130,"Male",3,"Research Scientist","Divorced",43320,7,14,2,8,3,5,1,3,4,2,3,2,3,6.68298671497585,31,0,4
"131",42,"No","Travel_Rarely","Research & Development",2,3,"Medical",131,"Female",4,"Manager","Divorced",110310,3,12,1,8,2,5,1,2,2,1,3,2,3,7.48264775413712,26,9,3
"132",37,"No","Travel_Rarely","Sales",9,1,"Marketing",132,"Male",3,"Sales Executive","Single",44400,2,11,1,18,3,1,0,1,3,2,2,2,3,9.92013151927438,16,245,3
"133",43,"No","Travel_Rarely","Sales",10,2,"Life Sciences",133,"Female",1,"Sales Executive","Divorced",46170,1,11,0,25,2,25,3,9,1,2,3,3,3,7.41563829787234,26,2,3
"134",40,"No","Travel_Rarely","Sales",6,2,"Life Sciences",134,"Female",1,"Laboratory Technician","Married",26470,6,13,0,20,2,1,0,0,2,3,3,2,3,7.49533846872082,23,10,3
"135",54,"No","Travel_Rarely","Human Resources",9,3,"Life Sciences",135,"Female",2,"Manufacturing Director","Married",63230,4,23,1,24,2,4,1,2,1,1,2,2,4,5.99896965247185,34,0,4
"136",34,"No","Non-Travel","Research & Development",28,3,"Medical",136,"Male",1,"Laboratory Technician","Married",56770,9,20,1,6,3,3,1,2,3,3,3,3,4,6.85954534662868,27,0,3
"137",31,"No","Travel_Rarely","Research & Development",10,4,"Life Sciences",137,"Male",3,"Sales Executive","Married",21870,1,15,1,13,2,13,3,12,2,1,1,2,3,6.13190972222222,29,0,3
"139",43,"No","Travel_Rarely","Sales",27,4,"Life Sciences",139,"Male",2,"Sales Representative","Divorced",39770,4,18,1,8,3,5,0,2,3,3,3,3,3,8.87896942110177,23,238,3
"140",25,"No","Travel_Rarely","Human Resources",7,2,"Human Resources",140,"Male",1,"Manufacturing Director","Single",86330,1,19,1,5,2,5,1,3,2,4,3,4,3,10.8958453065134,29,232,4
"141",37,"No","Non-Travel","Research & Development",1,3,"Medical",141,"Male",3,"Laboratory Technician","Married",20080,3,22,0,15,5,13,10,7,2,3,3,2,4,10.692001669051,28,233,3
"142",31,"No","Travel_Rarely","Research & Development",24,1,"Medical",142,"Male",3,"Laboratory Technician","Married",44400,1,13,1,4,2,4,3,2,4,1,3,3,3,7.06031609195402,29,0,3
"143",39,"No","Travel_Frequently","Research & Development",26,4,"Technical Degree",143,"Female",1,"Sales Executive","Divorced",30670,1,20,1,21,5,21,1,6,2,3,3,1,4,9.009179138322,16,245,3
"144",56,"No","Travel_Frequently","Research & Development",20,4,"Life Sciences",144,"Female",3,"Sales Executive","Married",53210,9,14,0,36,1,7,7,7,3,1,2,3,3,7.42044746629475,22,8,3
"145",30,"No","Travel_Rarely","Sales",5,4,"Medical",145,"Female",2,"Manufacturing Director","Single",54100,0,17,1,6,2,5,4,4,2,3,3,3,3,7.58597392290249,16,18,3
"146",41,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",146,"Female",3,"Research Scientist","Married",27820,1,14,0,10,2,10,0,7,2,1,3,2,3,6.6241366989396,20,0,3
"147",28,"No","Travel_Rarely","Research & Development",7,3,"Medical",147,"Male",3,"Healthcare Representative","Divorced",119570,1,13,0,10,2,10,1,8,3,1,3,2,3,6.19276483050847,25,0,3
"148",25,"Yes","Travel_Rarely","Research & Development",5,2,"Life Sciences",148,"Female",3,"Laboratory Technician","Married",26600,5,13,0,6,3,2,0,2,1,1,3,3,3,6.47230343691149,25,0,3
"149",52,"No","Travel_Rarely","Research & Development",26,2,"Life Sciences",149,"Female",2,"Sales Representative","Married",33750,2,21,0,28,2,5,0,4,4,3,3,2,4,8.19505144032922,18,166,3
